usecases,DP->,
"1.when user click on Start bulding button the user should be navigated to datasources page with a pop up ""Mission 1
Query the Super Updates DB
1
Create a new query that can fetch standup updates from across the multiverse
2
Hit Run to check it's response""
The paginatioon should be on left corner and Do it for me button on right
2.The end tour text should be displayed on the top bar right corner 
3.When user click on it the tour should be ended",,
"The next Pop up should be ""Mission 2
Build the Standup Dashboard
1
Click the add widget button to open the widgets panel
2
Drag a table so that heroes can view each other's updates.
The paginatioon should be on left corner and Do it for me button on right
2.The end tour text should be displayed on the top bar right corner 
3.When user click on it the tour should be ended",,
"The next pop up should be ""Mission 3
Connect Real Data
1
Use your javascript superpowers to populate the static TableData with live query results.
The paginatioon should be on left corner and Show me how button on right
2.The end tour text should be displayed on the top bar right corner 
3.When user click on it the tour should be ended",,
"The next pop up should be. ""Mission 3
Connect Real Data
1
Use your javascript superpowers to populate the static TableData with live query results.
Use the snippet below inside TableData
{{fetch_standup_updates.data}}
The paginatioon should be on left corner and  Do it for me button on right
2.The end tour text should be displayed on the top bar right corner 
3.When user click on it the tour should be ended",,
"The next pop up should be ""Mission 4
Capture Hero Updates
1
Drag an input so that heroes can enter their daily updates.
2
Create a query in the OnSubmit action to insert a standup_update.
The paginatioon should be on left corner and Do it for me button on right
2.The end tour text should be displayed on the top bar right corner 
3.When user click on it the tour should be ended",,
"The Next pop should be ""Mission 5
Deploy the Standup Dashboard to save the world from meetings!""
The paginatioon should be on left corner and  Do it for me button on right
2.The end tour text should be displayed on the top bar right corner 
3.When user click on it the tour should be ended",,
"The next pop up should be""Great Job! You built an app that saves your team from boring meetings
WHAT YOU’VE LEARNT
Query a database directly
Build a dashboard without HTML/CSS
Read/Write data to the UI using JS
Deploy an app with a Click""
The back button and Next mission button should be displayed",,
When the user click on back button the user should navigate to application page,,
When user click on Next mission The user should be navigated to documantation page,,
"when the user click on close icon the pop up should be closed and the canavas should be displayed with following detailes:
1.A logo
2.Start by adding your first data source text in bold
3.Adding a data source makes creating applications more powerful. Don’t worry if you don’t have any data to hand, we have sample data you can use text
4.Add a data source button
5.Alternatively you can also text followed by ""add Widgets first""text link",,
"When the user click on build my first app button the user should be navigated to canavas and following detailes should be displayed:
1.A logo
2.Start by adding your first data source text in bold
3.Adding a data source makes creating applications more powerful. Don’t worry if you don’t have any data to hand, we have sample data you can use text
4.Add a data source button",,
"there should be white progress bar displayed on top of the entity section the default progress bar status should be ""Get started""
First: Add a datasource
empty horizontal bar",,
when the user click on Add a datasource button the user should be navigated to the Create new data source page,,
The user should be allowed to click on any database / api/ Mock data sources and allowed to connect to it ,,
Without clicking on a Add a datasource button if the user click on Add widget button the user should be navigated to empty canvas,,
"when the user successfully add the datasource the new page should be displayed with the following detailes:
1.BACK button
2.👋 Welcome to Appsmith! text
3.Let’s get you started on your first application, explore Appsmith yourself or follow our guide below to discover what Appsmith can do.
4.1 of 5 complete 
5.Connect your data source to start building an application. text should be displayed with the green tick mark at the beggening(the green tick mark represents that the action had been completed)
6.tick mark followed by ""Create a query of your data source"". text and Create a query button displayed in orange button
7.tick mark followed by ""Start visualising your application using widgets"". text followed by Add widget button displayed in white color
8.tick mark followed by ""Connect your data to the widgets using JavaScript"". text followed by Connect data to widget button displayed in white color
9.tick mark followed by ""Deploy your application, and see your creation live."" text followed by deploy application button",,
"Now the progress bar  displayed on top of the entity section and progress bar status should be ""Get started""
Next: Create a query
 horizontal bar should be filled 20% with orange color",,
Now the user should be allowed to click on Create a query button from the Welcome to Appsmith page Once the user click on Craete a query button the new query should be Opened,,
The user should allowed to write his own query,,
"once the query is created the Progress bar on the Enitty explorer should be displayed as :
""Get started""
Next:  Add a widget
 horizontal bar should be filled 40% with orange color",,
"Now when the user click on Back button the user should be displayed with the  following detailes:
1.Add a widget Image
2.Next, add a widget to start displaying data text
3.Great job adding a data source! The next thing you can do is add widget to start start making your data visual. Text
4.Add a Widget Button
5.Alternatively you can also share your application link",,
"When the user click on Add a widget button the user should be navigated to Canvas "" Drag nd Drop the widget "" text should be highlighted and in the entity pane should be displayed with widgets",,
"once the user click on ""add a widget button"" the Progress bar on the Enitty explorer should be displayed as :
""Get started""
Next:  Bind your data
 horizontal bar should be filled 60% with orange color",,
If the user click on share your link then the share pop up should be displayed and the User can enter the email and role and share with any of the users,,
Once the user drag and drop the widget the User should be allowed to bind the data ,,
"Once the user bind the data to the widget the progress bar in the entity pane should be displayed as follows:
""Get started""
Next:   Deploy your project
 horizontal bar should be filled 80% with orange color",,
"When the user click on Deploy the progress bar in the entity pane should be displayed as follows:
""Get started""
Next: Completed 🎉
 horizontal bar should be filled 100% with orange color",,
"The progress bar can be displayed in 2 color 
1.Orange when the user is on checklist page
2.white color when the user is on canvas",,
The user can navigate to chceklist page anytime by click on the progress bar,,
The progress bar is displayed with the close icon when the user click on it the onboarding process should stop,,
"By default the application created in this process is names as the ""My first application""",,
When the user complete each step in the checlist window the green check box should get added and the Button for performing th action should be removed,,
Whenever the user click on back button the canvas should be displayed with the next step detailes,,
