Test Case Number,Area of Focus,Type (Negative / Positive),Steps,Expected Result,Actual,Comments,Automated,By Dev/QA
TC-git013,git feature/discard changes,positive,"1.Create a new app
2.Now connect application to git 
3. do a intial commit and push
4. In the page 1
5. Add a table widget 
6. Do a commit and push 
7. Now add a list widget 
8.Now we dont need a newly added list widget
9.Click on discard change and verify the functionlity",The list widget should be removed and the user should go back to previous commit that only table should be displayed,seems fine,,,
TC-git014,git feature/discard changes,positive,"1.Create a new app
2.Now connect application to git 
3. do a intial commit and push
4. In the page 1
5. connect to a mongo dB 
6. Do a commit and push 
7. Now add a postgre DB 
8.Now we dont need a newly added Postgre DB
9.Click on discard change and verify the functionlity",The Postgre DB should be removed and user should go back to previos commit that only mongo db should be displayed,this level it doesnt work,,,
TC-git015,git feature/discard changes,positive,"1.Create a new app
2.Now connect application to git 
3. do a intial commit and push
4. In the page 1
5. connect to a mongo dB  add query 1
6. Do a commit and push 
7. Now add a postgre DB  add query 1
8.Now we dont need a newly added postgre DB query 1
9.Click on discard change and verify the functionlity",The Postgre DB should be removed along with query 1 and user should go back to previos commit that only mongo db and query 1should be displayed,seems fine,,,
TC-git016,git feature/discard changes,positive,"1.Create a new app
2.Now connect application to git 
3. do a intial commit and push
4. In the page 1
5. connect to a mongo dB 
6. Do a commit and push 
7. Now add a query 2
8.Now we dont need a newly query 2
9.Click on discard change and verify the functionlity",The query 2 should be removed and user should go back to previous commit that mongo db with query 1 should be displayed,seems fine,,,
TC-git017,git feature/discard changes,positive,"1.Create a new app
2.Now connect application to git 
3. do a intial commit and push
4. In the page 1
5. Add a new API /Curl
6. Do a commit and push 
7. Now add a API1/Curl1
8.Now we dont need a newly added API1/CURL1
9.Click on discard change and verify the functionlity",The API1/Curl1 should be removed and user should go back to previous commit that API/Curl should be displayed,seems fine,,,
TC-git018,git feature/discard changes,positive,"1.Create a new app
2.Now connect application to git 
3. do a intial commit and push
4. In the page 1
5. Add a widget table
6. Do a commit and push 
7. Now add js
8.Now we dont need a newly added js
9.Click on discard change and verify the functionlity",The js should be removed and user should go back to previous commit that table should be displayed,seems fine some toast error is displayed,,,
TC-git019,git feature/discard changes,positive,"1.Create a new app
2.Now connect application to git 
3. do a intial commit and push
4. In the page 1
5. Add a widget table
6. Do a commit and push 
7. Now add js
8.Now we dont need a newly added js
9.Click on discard change 
10.Now fork the application verify the functionality",The discarded changes should not be reflected in the forked app,seemsfine,,,
TC-git020,git feature/discard changes,positive,"1.Create a new app
2.Now connect application to git 
3. do a intial commit and push
4. In the page 1
5. Add a widget table
6. Do a commit and push 
7. Now add js
8.Now we dont need a newly added js
9.Click on discard change 
10.Now duplicate the application verify the functionality",The discarded changes should not be reflected in the duplicated app,seemsfine,,,
TC-git021,git feature/discard changes,positive,"1.Create a new app
2.Now connect application to git 
3. do a intial commit and push
4. In the page 1
5. Add a widget table
6. Do a commit and push 
7. Now add js
8.Now we dont need a newly added js
9.Inmport the Json app verify the functionality",In the imported json app the discarded changes should not be displayed,seemsfine,,,
TC-git022,git feature/discard changes,positive,"1.Create a new app
2.Now connect application to git 
3. do a intial commit and push
4. In the page 1
5. Add a widget table
6. Do a commit and push 
7. Now add js
8.Now we dont need a newly added js
9.Inmport the git connected app verify the functionality",In the imported git app the discarded changes should not be displayed,seemdfine,,,
