Area,Description,Type of test case,Steps,Expected Result,Actual Result,Test Result/ Comments,Author,Account Used for testing,Is Test Automated or Not,comments
Connect Git button,verify the functionality when the user import and export the application,,"1.Go to Home page
2.verify the functionality when the user import and export the application",If the application was connected to git before now the connection wont be retained when its imported,pass,,,,No,
Git connection Pop up,Verify the display of Git connection pop up ,UI,"1.Go to canvas
2.Click on Connect git button 
3.Verify the display of Git connection popup","The display of Git connection Pop up (for the first time when we connectiong to git)
1.The pop up should be displayed with as follows 
a.The Git connection tab highlighted with orange underline 
b.Connect to Git Repository text
c.Checkout branches, Make commits, add deploy your application text 
d.Remote URL Text
e.Create an empty git repository and paste the remote URL here. text followed by learn more link
f.Paste your URL here placeholder text with the input box
g.Close Icon ",pass,,,,Cannot Automated,
Git connection Pop up,Validate the generation of SSH KEy,Functionality,"1.Go to Github
2.Create a new repo
3.Under Code section
4.Verify the display of SSH key",Under the code Tab we can find the SSh Key /Copy it and paste it in the Remort URL input box,pass,,,,Cannot Automated,
Git connection Pop up,Verify the functionality when user enter the SSH Key ,Functionality,"1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Verify the functionality when user enter the SSH Key ",When the user enter any text in the input box the Generate SSH key button should be displayed,pass,,,,Automated,
Git connection Pop up,verify the display when user enter wrong SSH key ,Functionality,"1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Verify the display when user enter the wrong SSH Key ","The error message should be displayed as ""Please enter valid SSH URL of your repository
"" and generate Key button should be disabled",pass,,,,Automated,
Git connection Pop up,Verify the display of Generate KEy button,UI,"1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Enter th ekey in Input box
4.Verify the display of Generate KEy button","The generate SSH Key button should be displayed in orange Color and the Text should in Upper case inside the button, The button should be left alligned inside the pop up",pass,,,,Cannot Automated,
Git connection Pop up,Verify the display of git connection pop up once the key is generated,UI,"1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Enter th ekey in Input box
5.Click on generate Key button
6.verify the display of git connection pop up","Once the user click on the Generate SSH key Button the same Git connection pop up should be displayed as follows:
1.Git Connection tab with orange underline
2.Connect to Git Repository text
3.Checkout branches, Make commits, add deploy your application text
4.Remote URL via SSH input box with SSH key non editable condition 
5.Deployed Key input box with autogenerated Key and copy icon next to it 
6.Copy this deploy key to your Git Repository setting.text followed by learn more link in orange color
7.User Settings text
8.Use Default Configuration check box with edit link 
9.Username name input box
10.Useremail Input box
11.Connect button in disabled state",pass,,,,Cannot Automated,
Git connection Pop up,Verify the display of Remote URL input box,UI,"1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Enter th ekey in Input box
5.Click on generate Key button
6.Under git connection pop up
7.Verify the display of Remote URL input Box",The Enter Remote URl should not be displayed and user should be able to edit it,pass,,,,No,
Git connection Pop up,Verify  the display of Deploy Key section,UI,"1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Enter th ekey in Input box
5.Click on generate Key button
6.Under git connection pop up
7.Verify  the display of Deploy Key section",This is a autogenerate Key section the key will be displayed with a copy Icon,pass,,,,No,
Git connection Pop up,Verify the functionality of copy icon,Functionality,"1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Enter th ekey in Input box
5.Click on generate Key button
6.Under git connection pop up
7.Verify the functionality of copy icon in Deploy Key",When user click on copy icon the key should be coped and the Green tick icon should be displayed,pass,,,,Automated,
Git connection Pop up,Validate the functionality of the deploy key,Functionality,"1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Enter th ekey in Input box
5.Click on generate Key button
6.Under git connection pop up
7.copy the  Deploy Key
8.Validate the functionality of the deploy key","Once we Copy the deploy key It should be added in the Git repo follow below steps to do that 
Steps where the user should copy the deploy key
step1: Click on Copy icon to copy the deploy key
step2: go to github
step3:go to setting tab
step 4: click on deploy key menu
step 5: click on Add deploy key button",pass,,,,Cannot Automated,
Git connection Pop up,Validate the functionality of copying deploy key in Github,Functionality,"1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Enter th ekey in Input box
5.Click on generate Key button
6.Under git connection pop up
7.copy the  Deploy Key
8.Validate the functionality of copying deploy key in Github","There are 2 Sceanrio when we add the deploy key 
1.Deploy key added without write access
2.Deploy key added with write access",pass,,,,Cannot Automated,
Git connection Pop up,Validate the functionality if deploy key is added without write access,Functionality,"1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Enter th ekey in Input box
5.Click on generate Key button
6.Under git connection pop up
7.copy the  Deploy Key
8.Validate the functionality if deploy key is added without write access","If the user has not added a Write acess then the toast bar should be displayed saying "" The user doesnt have write access""",pass,,,,Automated,
Git connection Pop up,Validate the functionality if deploy key is added with write access,Functionality,"1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Enter th ekey in Input box
5.Click on generate Key button
6.Under git connection pop up
7.copy the  Deploy Key
8.Validate the functionality if deploy key is added with write access",If the user has added it with the write access then there should not be any error,pass,,,,Automated,
Git connection Pop up,Verify the functionality of learn more under Git connection,Functionality,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Enter th ekey in Input box
5.Click on generate Key button
6.Under git connection pop up
7.Verify the functionality of learn more under Git connection",The functioanlity of learn more link under the deploy key is when the user clicks on it the user should be navigated to git hub docs,failed,,,,Automated,
Git connection Pop up,Verify the display of of user setting section,UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Enter th ekey in Input box
5.Click on generate Key button
6.Verify the display of user setting section Under git connection pop up","The user setting section should be displayed with :
1.Use Default Configuration checkbox (checked by default)
2.Edit link
3.Author name input box
4.Author email Input Box",pass,,,,No,
Git connection Pop up,verify the functionality of User default configuration chcekbox,UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Enter th ekey in Input box
5.Click on generate Key button
6.Under user setting section 
7.verify the functionality of User default configuration chcekbox",The Use Default Configuration checkbox should be checked by default so when this checked by default the username and Useremail will ge fetched by the git no need to be entered manually,failed,,,,No,
Git connection Pop up,verify the functionality of User default configuration chcekbox when the chcekboc is unchecked,Functionality,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Enter th ekey in Input box
5.Click on generate Key button
6.Under user setting section 
7.verify the functionality of User default configuration chcekbox when the chcekboc is unchecked",If the user Uncheck the User Default Configuration checkbox the user should be able to edit the username and email ,pass,,,,Automated,
Git connection Pop up,Verify the display of Author name Input box,UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Enter th ekey in Input box
5.Click on generate Key button
6.Under user setting section 
7.Verify the display of Author name Input box","When the user edit the Username the user should be able to add the username if this field is keept empty the error message should be displayed as "" enter the user name""",pass,,,,Automated,
Git connection Pop up,Verify the Functionality of Author name input Box,UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Enter th ekey in Input box
5.Click on generate Key button
6.Under user setting section 
7.Verify the Functionality of Author name input Box",When the user enetr the name in the input box that should allow the special characters,pass,,,,No,
Git connection Pop up,Verify the display of Author email Input Box,UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Enter th ekey in Input box
5.Click on generate Key button
6.Under user setting section 
7.Verify the display of Author email Input Box","When the user edit the Useremail the user should be able to add the Useremail if this field is keept empty the error message should be displayed as "" enter valied email id""",pass,,,,No,
Git connection Pop up,Verify the functionality of Author email Input Box,UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Enter th ekey in Input box
5.Click on generate Key button
6.Under user setting section 
7.Verify the functionality of Author email Input Box","The user enter the invalid email id Check for the following scenarios
1.The email Textbox should not allow only username is given
2.There should be a invalid domain name
3.Give only spaces in Email placeholder
4.Dont enter any Email 
5.Enter the invalid email ID
When there is an invalid email ID the error message should be displayed as""Please provide a valid email address""",pass,,,,No,
Git connection Pop up,Verify the functionality of Connect button,Functionality,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Enter th ekey in Input box
5.Click on generate Key button
6.Under user setting section 
7.Verify the functionality of Connect button","1.The connect will be enabled by default as all the mandatory fields are Autofiled
2.If all the input fields are valid and clicks on connect the connect should be successfull
3.If there are ay error should be displayed",pass,,,,Automated,
Git connection Pop up,Validate the error displayed when the connect failed,UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Enter th ekey in Input box
5.Click on generate Key button
6.Under user setting section 
7.Validate the error displayed when the connect failed","If the deploy key is not added in git with correct access then error should be displayed as ""Error while connecting"" Make sure your SSH Key has write access.  Read Documetation link",pass,,,,No,
Git connection Pop up,Verify the functionality of Read documantation link,Functionality,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Enter th ekey in Input box
5.Click on generate Key button
6.Under user setting section 
7.When the connection fail
8.Verify the functionality of Read documantation link",The user should be navigated to appsmith docs page,pass,,,,Automated,
Git connection Pop up,Verify the display of progress bar when user click on connect button,UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Enter th ekey in Input box
5.Click on generate Key button
6.Under user setting section 
7.WValidate the display of progress bar when user click on Connect button",When user click on the connect Button the loader should be displayed with the % of the Work completed,pass,,,,No,
Deploy Tab,Validate the display of Deploy Tab,UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Validate the display of Deploy Tab","Once thye user click on connect on successfull connection the user should be navigated to deploy tab and the following data should be displayed:
1.Deploying your application text
2.Count widget Updated /addeed text
3.count queries modified/added  text
4.Commit to Branchname (the branch name which the user is in )
5.Commit & Push button
6.Close button""",pass,,,,No,
Deploy Tab,verify the display of Git Connection Pop up,UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Validate the display of Git connect Tab after sucessfull connection","The Git Connection pop up should be displayed with 3 tabs
1.Git Connection 
2.Deploy Tab
3.Merge Tab",pass,,,,No,
Deploy Tab,Validate the Update Status under Deploy Application section,UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Under Deploy Tab
6.Validate the Update Status under Deploy Application section","This section should update based on the new changes made by User
i.e: Count widget Updated /addeed text
count queries modified/added  text ",failed,,,,No,
Deploy Tab,Validate the Branch name display,UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Under Deploy Tab
6.Validate the Branch name display",In the Commit to Branchname text the branchname will be displayed on the branch selected,pass,,,,No,
Deploy Tab,Validate the Input Box displayed below Commit to master Text ,Functionality,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Under Deploy Tab
6.Validate the Input Box displayed below Commit to master Text ",The comment Input box below the comment to master text cant be kept empty if its kept emptythen commit & push button should be disabled,pass,,,,Automated,haojin111
Deploy Tab,Verify the functionality of Commit & Push Button,Functionality,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Under Deploy Tab
6.Verify the functionality of Commit & Push Button","1. If there are no changes made in the app then the commit & ppush button should be displayed in disabled state
2. If there are chnages made in the app then the Commit & Push button should be enabled",pass,,,,Automated,
Deploy Tab,Verifythe functionality when the First commit & Push is Completed,UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Under Deploy Tab
6.Verifythe functionality when the First commit & Push is Completed",All the changes should get added in the git and Commit & Push button should be disabled and Deploy Preview shouldbe displayed,pass,,,,No,
Deploy Tab,Verify the display of the progress bar when the user Commit and Push each time,UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Under Deploy Tab
6.Verify the display of the progress bar when the user Commit and Push each time",When the user clicks on the commit & push button the progress bar should be displayed based on the completion of task,pass,,,,No,
Deploy Tab,Verify the Functionality of Deploy Preview section,Functionality,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Under Deploy Tab
6.Verify the display of Deploy Preview section",The deploy preview Link should be displayed only after the first commit done and it should e updated with the each commit and push,pass,,,,Automated,haojin111
Deploy Tab,Verify the display of Deploy preview,UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Under Deploy Tab
6.Verify the display of Deploy preview","1.The green tick mark should be displayed when everytime a new deploy preview is grenerated 
2.When the suer click on the latest Deploy Preview link The view mode of the app should be displayed 
3.last deployed 3 hrs ago text should be displayed the time should based on the last deployed time",pass,,,,No,
Deploy Tab,validate the error displayed for the commit & Push State,Functionality,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Under Deploy Tab
6.validate the error displayed for the commit & Push State",If there are any unpulled changes in the app and if the user try to commit & push the chnages the error should be displayed,,,,,Automated,
Git Connection Update config Tab,Verify the disply of Git Connection page after successful  connection to git,UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Verify the disply of Git Connection page after successful  connection to git","1.Git Connection tab with orange underline
2.Connect to Git Repository text
3.Checkout branches, Make commits, add deploy your application text
4.Remote URL via SSH input box with SSH key disabled condition 
5.Deployed Key input box with autogenerated Key and copy icon next to it 
6.Copy this deploy key to your Git Repository setting.text followed by learn more link in orange color
7.User Settings text
8.Use Default Configuration check box with edit link 
9.Author name name input box
10.Author email Input box
11.Update config button in disabled state",pass,,,,No,
Git Connection Update config Tab,Validate that the user is able to edit Author name,UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Validate that the user is able to edit Author name",The user should be able to edit the name once the user update a name the update config button will be enabled,pass,,,,No,
Git Connection Update config Tab,Validate that the user is able to edit Author Email,UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Validate that the user is able to edit Author Email",The user should be able to edit email once the user edit the email he update config button will be enabled,pass,,,,No,
Git Connection Update config Tab,Validate the Functionality of update button when user reenter same Authorname and Author email ,UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.VValidate the Functionality of update button when user renetr same Authorname and Author email ",The update button should be in the disabled state,pass,,,,No,
Git Connection Update config Tab,Verify whether the updated name is displayed in the git commit section,UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Update authorname and author email
6.Verify whether the updated name is displayed in the git commit section",When the user update the authorname validate that the update user is displayed in the git commit section when the user commit & push,pass,,,,No,
Git Connection Update config Tab,Verify the functionality of close icon displayed on top right corner of the git connection pop up,UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Update authorname and author email
6.Verify the functionality of close icon displayed on top right corner of the git connection pop up",When the user click on the close icon the pop up should be closed,pass,,,,No,
Git Connection Update config Tab,Verify the display of Icons on left corner after successfull connection to git,UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Verify the display of Icons on left corner after successfull connection to git","Once the user is connected to git the left bottom of the application should be displayed with following Icon:
1.Current branch user in Text
2.+ icon
3.Up arrow icon
4.Down arrow icon(removed)
5.Fork Icon
6.Setting Icon",Pass,,,,No,
Branch Creation,Validate the display of Branch name,UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Validate the display of Branch name",the default branch name should be displayed at the left corner,pass,,,,No,
Branch Creation,Verify the functionality when user click on the branch name,UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Verify the functionality when user click on the branch name","The dropdown should be opened on the top with following details:
1.Switch branches with refresh icon
2.Input box with placeholder text ""Find or Craete a branch""
3.Default Branch ""master "" with text Default at right 
4.close icon",pass,,,,No,
Branch Creation,Verify the functionality of Refresh icon next to Switch Branch,Functionality,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Open branch dropdown 
6.Verify the functionality of Refresh icon next to Switch Branch",When user click on refersh icon All the branch name present in the git should get sync with the app branches,Failed,,,,Automated,
Branch Creation,Verify the functionality of the Input Box,Functionality,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Open branch dropdown 
6.Verify the functionality of the Input Box","The Input has 2 functionality:
1.The user can search the branch name based by Prefix
2.If the branch with the searched name is not present then click on enter the user can create a new branch",pass,,,,Automated,
Branch Creation,validate of the branch name,Functionality,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Open branch dropdown 
6.Vvalidate the branch name",The user can Create a branch name with any charcters,pass,,,,Automated,haojin111
Branch Creation,Verify the functionality of the newly created branch,Functionality,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Open branch dropdown 
6.Verify the functionality of the newly created branch",From the Deafult branch when user create a new branch all the Data should be caried to the newly Created branch,pass,,,,Automated,
Branch Creation,Validate the navigation between the branches,Functionality,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Open branch dropdown 
6.Validate the navigation between the branches",The user navigate between any barnches by clicking on the branch names,pass,,,,Automated,
Branch Creation,Validate the error faced when user switches between the branches,Functionality,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Open branch dropdown 
6.Validate the error faced when user switches between the branches","When the user has a new page created in the new branch which is not present in the old branch from the new page when user try to switch to old branch which doesnt contain the page ""the page not found error is displayed""",failed,,,,Automated,haojin111
Branch Creation,Validate the functionality when the user delete the branches from git ,Functionality,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Open branch dropdown 
6.Validate the functionality when the user delete the branches from git ",The deleted branch name should not be displayed in the Branch dropdown,failed,,,,Automated,
Branch Creation,Validate whether the user id allowed to create a duplicate branch name,UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Open branch dropdown 
6.Validate whether the user id allowed to create a duplicate branch name",The user should not be allowed to create a duplicate branch names,pass,,,,No,
Branch Creation,Validate the display of Default branch names,UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Open branch dropdown 
6.Validate the display of Default branch names",When the User change the deafualt branch from the git the default text should be displayed based on the default branched selected in the git,,,,,No,
Branch Creation,Verify the display of the selected branch,UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Open branch dropdown 
6.Verify the display of the selected branch",The selected branch should be highlighted in the grey color,pass,,,,No,
Branch Creation,Validate the functionality when the number of branches increases,UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Open branch dropdown 
6.Validate the functionality when the number of branches increases",The scroll bar should be displayed the and the branch name will be arranged oldest to newest,pass,,,,No,
Branch Creation,validate the functionality of close button,UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Open branch dropdown 
6.validat ethe functionality of close button",When the user click on close button the dropdown should be closed,pass,,,,No,
Commit Icon,"validate the display when user hover on ""+"" Icon",UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.validate the display when user hover on ""+"" Icon","When the user hover on the + icon the tooltip should be displayed with text ""Commit Changes""",pass,,,,No,
Commit Icon,"verify the functionality when user click on ""+"" Icon",Functionality,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.verify the functionality when user click on ""+"" Icon",The deploy pop up should be displayed ,pass,,,,Automated,haojin111
Pull Icon,"validate the display when user hover on ""Downarrow"" Icon",UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.verify the functionality when user click on ""Downarrow"" Icon","When the user hover on the down arrow icon the tooltip should be displayed as ""No Commits to pull. in Sync  with remote repository ",pass,,,,No,
Pull Icon,Verify the functionality of the down arrow icon,Functionality,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Verify the functionality of the down arrow icon",When the git and app are not in Syn(the chnages are not same) the total miss match changes count from git to app will be displayed on the down arrow icon,,,,,Automated,
Pull Icon,Verify the functaionlaity when user click on pull icopn when there are pull changes,Functionality,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Verify the functaionlaity when user click on pull icon when there are pull changes","The Modal should open on the left corner with following details:
Conflicts found while pulling changes text
Please resolve the conflicts manually on your repository. text followed by Learn More link
Open repo Button
Pull Changes Button",,,,,Automated,
Pull Icon,Verify the functionality of Learn more link in Pull Changes modal,Functionality,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Verify the functionality of Learn more link in Pull Changes modal",The Appsmith documentation link should be opened,,,,,Automated,
Pull Icon,Verify the functionality of Open repo button in Pull Changes modal,Functionality,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Verify the functionality of  open repo button in Pull changes modal",The git repo should be opened,,,,,No,
Pull Icon,Verify the functionality of  in Pull Changes button in Pull changes modal,Functionality,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Verify the functionality of  in Pull Changes button in Pull changes modal",The new changes should be pulled in the selected branch,,,,,Automated,
Merge Icon,"validate the display when user hover on ""Merge"" Icon",UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.validate the display when user hover on ""Merge"" Icon","The tooltip should be displayed with text ""Merge""",pass,,,,No,
Merge Icon,"verify the functionality when user click on ""Merge"" Icon",Functionality,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.verify the functionality when user click on ""Merge"" Icon",The Pop Up should be displayed with the pop up Merge,pass,,,,Automated,
Merge Icon,Verify the display of Merge Pop up,UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Verify the display of Merge Pop up","The pop up should be displayed with following details:
1.Merge changes text
2.Select Branch to Merge text with a dropdown
3.the default Branch name which the user is currently worked on
4.merge changes button",pass,,,,No,
Merge Icon,Verify the functionality of Select Branch under merge tab,Functionality,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Verify the functionality of Select Branch under merge tab","The select branch dropdown should be displayed with following details:
1.The serach icon
2.All the branch name in the application",pass,,,,Automated,
Merge Icon,Verify the functionality of serach input box inside the serach dropdown,Functionality,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Verify the functionality of serach input box inside the serach dropdown",The user should be able to serach the branch name,pass,,,,Automated,haojin111
Merge Icon,Verify the functionally of the default dropdown under merge tab,UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Verify the functionally of the default dropdown under merge tab",The dropdown should be display with branch name that user is working and it should be not editable,pass,,,,No,
Merge Icon,Verify the display of the Merge Button,UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Verify the display of the Merge Button",The Merge button should be in disabled state untill the user select the branch name from the select dropdown,pass,,,,Automated,haojin11
